Transition,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,grid9,grid10,grid11,grid12,grid13,grid14,grid15,grid16,grid17,grid18,grid19,grid20,grid21,grid22,grid23,grid24,grid25,grid26,grid27,grid28,grid29,grid30,grid31,grid32,grid33,grid34,grid35,grid36,grid37,grid38,grid39,grid40,grid41,grid42,grid43,grid44,grid45,grid46,grid47,grid48,grid49,grid50,grid51,grid52,grid53,grid54,grid55,grid56,grid57,grid58,grid59,grid60,grid61,grid62,grid63,grid64,grid65,grid66,grid67,grid68,grid69,grid70,grid71,grid72,grid73,grid74,grid75,grid76,grid77,grid78,grid79,grid80,grid81,grid82,grid83,grid84,grid85,grid86,grid87,grid88,grid89,grid90,grid91,grid92,grid93,grid94,grid95,grid96,grid97,grid98,grid99,grid100
BcD,0.139300359427778,0.138864006762437,0.138418817008287,0.137964929927922,0.137502485727718,0.137031625000532,0.136552488669999,0.136065217936433,0.135569954224291,0.135066839131217,0.134556014378623,0.134037621763794,0.13351180311351,0.132978700239135,0.132438454893182,0.131891208727295,0.13133710325165,0.13077627979573,0.130208879470448,0.129635043131594,0.129054911344576,0.128468624350407,0.127876322032938,0.127278143887273,0.12667422898935,0.12606471596666,0.125449742970052,0.124829447646611,0.124203967113565,0.123573437933189,0.122937996088674,0.122297776960932,0.121652915306294,0.121003545235081,0.120349800191008,0.119691812931389,0.119029715508119,0.11836363924939,0.117693714742129,0.117020071815103,0.116342839522691,0.115662146129268,0.114978119094189,0.114290885057347,0.113600569825266,0.112907298357711,0.112211194754799,0.111512382244565,0.110810983170984,0.110107118982407,0.109400910220405,0.108692476508983,0.107981936544165,0.107269408083909,0.106555007938357,0.105838851960374,0.10512105503639,0.104401731077509,0.103680993010873,0.102958952771279,0.102235721293015,0.101511408501926,0.100786123307679,0.100059973596231,0.099333066222478,0.0986055070030831,0.0978774007094771,0.0971488510610166,0.0964199607182987,0.0956908312766244,0.0949615632596051,0.0942322561129073,0.0935030081981325,0.0927739167868282,0.0920450780546264,0.0913165870755095,0.0905885378161997,0.0898610231306728,0.0891341347547946,0.0884079633010804,0.0876825982535783,0.0869581279628771,0.0862346396412398,0.0855122193578653,0.0847909520342798,0.0840709214398612,0.0833522101874988,0.0826348997293917,0.08191907035299,0.0812048011770815,0.0804921701480297,0.0797812540361651,0.0790721284323367,0.078364867744626,0.0776595451952308,0.0769562328175214,0.0762550014532758,0.0755559207500986,0.0748590591590285,0.0741644839323398
GA,0.109887117329073,0.111529821029673,0.113188737488629,0.114863899691384,0.116555338705922,0.118263083645095,0.119987161628777,0.121727597745868,0.123484415016196,0.12525763435233,0.127047274521364,0.128853352106679,0.130675881469752,0.132514874712012,0.134370341636817,0.136242289711564,0.138130724029981,0.140035647274642,0.14195705967974,0.143894958994164,0.145849340444915,0.147820196700905,0.14980751783718,0.151811291299612,0.153831501870094,0.155868131632289,0.157921159937968,0.159990563373988,0.162076315729939,0.164178387966521,0.166296748184668,0.168431361595494,0.170582190491068,0.172749194216086,0.17493232914047,0.177131548632937,0.179346803035577,0.181578039639485,0.183825202661481,0.186088233221964,0.188367069323928,0.190661645833194,0.192971894459877,0.195297743741139,0.197639119025256,0.199995942457037,0.202368132964624,0.204755606247717,0.207158274767239,0.209576047736493,0.212008831113814,0.214456527596773,0.216919036617942,0.219396254342244,0.221888073665931,0.224394384217192,0.226915072358428,0.229450021190206,0.231999110556913,0.234562217054135,0.237139214037761,0.239729971634838,0.242334356756195,0.244952233110828,0.247583461222071,0.250227898445559,0.252885398988981,0.255555813933631,0.258238991257768,0.260934775861768,0.263643009595081,0.266363531284986,0.269096176767135,0.271840778917882,0.274597167688393,0.277365170140514,0.280144610484401,0.282935310117882,0.285737087667545,0.288549759031529,0.291373137424001,0.294207033421298,0.297051255009703,0.299905607634844,0.302769894252669,0.305643915381993,0.308527469158559,0.311420351390609,0.314322355615905,0.317233273160185,0.320152893197006,0.323081002808935,0.326017387050058,0.328961829009755,0.331914109877699,0.334874009010044,0.337841303996749,0.340815770729988,0.343797183473605,0.346785314933571
IB,0.389453886840506,0.388916996156974,0.388352217103453,0.387759802398884,0.387140008292758,0.386493094425239,0.385819323690219,0.385118962101301,0.384392278660734,0.383639545231286,0.382861036411068,0.382057029411273,0.381227803936845,0.380373642070029,0.379494828156801,0.378591648696126,0.377664392232032,0.37671334924844,0.375738812066734,0.374741074745995,0.373720432985887,0.372677184032106,0.37161162658438,0.370524060706918,0.369414787741297,0.368284110221686,0.367132331792379,0.365959757127543,0.364766691853147,0.363553442470982,0.362320316284719,0.361067621327929,0.359795666294015,0.35850476046796,0.357195213659849,0.355867336140082,0.354521438576219,0.353157831971378,0.351776827604131,0.350378736969827,0.348963871723268,0.347532543622692,0.346085064474974,0.344621746082005,0.343142900188176,0.341648838428902,0.340139872280143,0.338616313008841,0.337078471624241,0.335526658830026,0.333961184977216,0.332382360017782,0.33079049345893,0.329185894317988,0.327568871077883,0.32593973164313,0.324298783296319,0.322646332655036,0.320982685629203,0.319308147378786,0.317623022271843,0.315927613842873,0.314222224751454,0.312507156741126,0.310782710598493,0.309049186112534,0.307306882034095,0.305556096035534,0.303797124670519,0.302030263333946,0.300255806221982,0.298474046292202,0.296685275223832,0.294889783378068,0.293087859758484,0.29127979197152,0.289465866187042,0.287646367098977,0.285821577886035,0.283991780172498,0.282157253989112,0.280318277734053,0.278475128134008,0.276628080205356,0.274777407215476,0.27292338064418,0.271066270145297,0.269206343508414,0.267343866620793,0.26547910342948,0.263612315903625,0.261743763997029,0.259873705610939,0.258002396557114,0.256130090521174,0.254257039026273,0.252383491397088,0.250509694724185,0.248635893828745,0.246762331227714
DF,0.0904508269548567,0.0911738286321437,0.0918958351186513,0.0926167624862475,0.093336526722088,0.0940550437348389,0.0947722293610619,0.0954879993717803,0.0962022694792449,0.0969149553439161,0.0976259725816786,0.0983352367713062,0.0990426634621904,0.0997481681823488,0.100451666446726,0.101153073765803,0.10185230565452,0.10254927764154,0.103243905278842,0.103936104151678,0.104625789888877,0.105312878173538,0.105997284754077,0.106678925455681,0.107357716192136,0.10803357297806,0.108706411941529,0.109376149337113,0.110042701559314,0.110705985156409,0.111365916844713,0.112022413523233,0.112675392288748,0.113324770451284,0.113970465549995,0.114612395369446,0.115250477956292,0.115884631636348,0.116514775032043,0.117140827080253,0.117762707050512,0.118380334563573,0.118993629610336,0.119602512571114,0.120206904235235,0.120806725820965,0.121401898995743,0.121992345896719,0.122577989151567,0.123158751899576,0.123734557813002,0.12430533111865,0.124870996619687,0.125431479717674,0.125986706434769,0.126536603436128,0.127081098052449,0.127620118302656,0.128153592916713,0.128681451358523,0.129203623848923,0.129720041388732,0.13023063578184,0.130735339658324,0.131234086497551,0.131726810651274,0.13221344736667,0.132693932809327,0.133168204086133,0.133636199268065,0.134097857412841,0.134553118587424,0.13500192389035,0.135444215473859,0.135879936565812,0.136309031491357,0.136731445694344,0.137147125758449,0.137556019427997,0.13795807562845,0.138353244486557,0.138741477350126,0.139122726807409,0.139496946706079,0.139864092171773,0.140224119626187,0.140576986804699,0.140922652773507,0.141261077946259,0.141592224100155,0.141916054391514,0.142232533370773,0.142541626996921,0.14284330265133,0.143137529150988,0.143424276761109,0.143703517207107,0.143975223685919,0.144239370876672,0.144495934950673
Nat,0.104481684446748,0.102476114489465,0.100501633522384,0.0985579636078512,0.0966448231215986,0.0947619269936284,0.0929089869443154,0.0910857117156545,0.0892918072975809,0.0875269771493061,0.0857909224156163,0.084083342138097,0.0824039334612471,0.0807523918334635,0.0791284112028766,0.0775316842080329,0.0759619023634208,0.0744187562398489,0.0729019356396891,0.071411129767004,0.0699460273925838,0.068506317013926,0.0670916870101911,0.065701825792179,0.0643364219473708,0.0629951643800858,0.0616777424468103,0.060383846086755,0.0591131659477027,0.0578653935072137,0.0566402211892528,0.055437342476313,0.0542564520171054,0.0530972457298932,0.051959420901545,0.050842676282388,0.0497467121769399,0.0486712305306035,0.0476159350124048,0.0465805310938593,0.0455647261240517,0.0445682294010128,0.0435907522394809,0.042632008035132,0.0416917123253657,0.040769582846733,0.0398653395890907,0.0389787048465694,0.0381094032654395,0.03725716188896,0.0364217101992946,0.035602780156578,0.0348001062352164,0.0340134254575021,0.0332424774246253,0.0324870043451617,0.031746751061115,0.0310214650715931,0.0303108965541941,0.0296147983841767,0.0289329261514918,0.0282650381757451,0.0276108955191652,0.0269702619976462,0.026342904189934,0.0257285914450239,0.0251270958878363,0.0245381924232344,0.0239616587384485,0.0233972753039677,0.0228448253729606,0.0223040949792832,0.0217748729341328,0.0212569508214027,0.0207501229917946,0.0202541865557395,0.0197689413751821,0.0192941900542763,0.0188297379290438,0.0183753930560419,0.0179309662000874,0.0174962708210821,0.0170711230599837,0.0166553417239648,0.0162487482708002,0.0158511667925242,0.0154624239983956,0.0150823491972083,0.0147107742789832,0.0143475336960782,0.0139924644437485,0.0136454060401912,0.013306200506106,0.0129746923438023,0.0126507285158823,0.0123341584235301,0.0120248338844322,0.0117226091103581,0.0114273406844262,0.0111388875380784
S1P,0.0637460153073668,0.064123655974185,0.0644987791241649,0.0648713361499619,0.0652412788335873,0.065608559348982,0.0659731302646573,0.0663349445464125,0.0666939555601413,0.0670501170747372,0.0674033832651075,0.0677537087153052,0.0681010484217865,0.0684453577968043,0.0687865926719407,0.0691247093017901,0.0694596643677946,0.0697914149822398,0.0701199186924143,0.0704451334849376,0.0707670177902599,0.0710855304873361,0.0714006309084764,0.0717122788443755,0.0720204345493205,0.0723250587465792,0.0726261126339665,0.0729235578895902,0.0732173566777733,0.073507471655152,0.0737938659769447,0.0740765033033924,0.074355347806363,0.0746303641761182,0.0749015176282369,0.0751687739106904,0.075432099311064,0.0756914606639172,0.0759468253582795,0.0761981613452702,0.0764454371458389,0.0766886218586159,0.0769276851678661,0.0771625973515371,0.0773933292893921,0.0776198524712194,0.0778421390051081,0.0780601616257802,0.0782738937029692,0.0784833092498347,0.0786883829314018,0.0788890900730152,0.0790854066687964,0.0792773093900929,0.0794647755939076,0.0796477833312971,0.0798263113557275,0.0800003391313751,0.0801698468413606,0.0803348153959047,0.0804952264403932,0.0806510623633393,0.080802306304231,0.0809489421612523,0.0810909545988649,0.0812283290552397,0.0813610517495257,0.0814891096889438,0.0816124906756956,0.081731183313674,0.0818451770149644,0.0819544620061263,0.0820590293342435,0.0821588708727317,0.082253979326894,0.0823443482392124,0.0824299719943667,0.0825108458239697,0.0825869658110101,0.082658328893993,0.0827249328707689,0.0827867764020441,0.0828438590145622,0.0828961811039495,0.0829437439372175,0.0829865496549141,0.0830246012729171,0.0830579026838639,0.0830864586582111,0.0831102748449178,0.0831293577717489,0.0831437148451918,0.0831533543499839,0.083158285448246,0.083158518178218,0.0831540634525954,0.0831449330564618,0.083131139644818,0.0831126967397037,0.0830896187269125
AL,0.102680109693672,0.102915576955122,0.10314398063443,0.103365305737749,0.103579538596328,0.103786666851684,0.10398667944097,0.104179566582551,0.104365319761813,0.104543931717207,0.104715396426543,0.104879709093545,0.10503686613467,0.105186865166208,0.105329704991657,0.105465385589389,0.105593908100602,0.10571527481756,0.105829489172133,0.105936555724627,0.106036480152902,0.106129269241782,0.106214930872758,0.106293474013962,0.106364908710432,0.10642924607464,0.106486498277296,0.1065366785384,0.106579801118559,0.106615881310533,0.106644935431029,0.106666980812707,0.106682035796406,0.106690119723578,0.106691252928897,0.106685456733068,0.10667275343579,0.106653166308879,0.106626719589532,0.106593438473723,0.10655334910971,0.106506478591645,0.106452854953278,0.106392507161726,0.106325465111309,0.106251759617432,0.106171422410492,0.106084486129809,0.105990984317561,0.105890951412703,0.105784422744867,0.105671434528218,0.105552023855264,0.10542622869059,0.105294087864528,0.105155641066717,0.105010928839572,0.104859992571626,0.104702874490743,0.104539617657195,0.104370265956574,0.104194864092548,0.104013457579435,0.103826092734592,0.103632816670608,0.103433677287286,0.103228723263415,0.103018004048313,0.102801569853137,0.102579471641955,0.102351761122566,0.102118490737071,0.101879713652174,0.101635483749228,0.101385855613996,0.101130884526148,0.100870626448465,0.100605138015772,0.100334476523575,0.100058699916407,0.099777866775895,0.0994920363085201,0.0992012683330947,0.0989056232679418,0.0986051621177843,0.0982999464603409,0.0979900384326334,0.0976755007170061,0.0973563965268593,0.0970327895921024,0.0967047441443286,0.0963723249017148,0.096035597053655,0.0956946262451278,0.0953494785608081,0.0950002205089268,0.0946469190048851,0.0942896413546335,0.093928455237819,0.0935634286907122
